Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packaging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Category,Total Water Use,Total Land Use,Cluster,PCA1,PCA2,Food Type
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,-0.4983266338192567,2.173410405,7.52,3.384338434,504.18897717399994,178.4878488,396.6,0.283236994,0.441044104,2.156069364,7.46,3.357335734,27948.2,12577.94779,17380.575408477467,Plant-Based,-0.5562103789217425,-0.44139849225828165,0,-0.7384161815730721,-0.4496716283550739,Legumes & Pulses
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,-0.5561361084259869,3.113821138,19.15,11.72688304,672.1626016,2531.414574,4133.8,0.069918699,0.263319045,2.107317073,12.96,7.936313533,229889.8,140777.5873,37380.45528,Plant-Based,2.917099370512006,-0.3821499319090579,2,-0.2297349026268659,2.984717029040934,Nuts & Seeds
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,-0.34416803486797576,2.437931034,14.14,5.401069519,319.362069,707.5248281,1852.3,0.556896552,1.233766234,1.570689655,9.11,3.479755539,61797.9,23605.00382,10654.81034,Plant-Based,-0.16686650168195333,-0.42954134635371227,0,-0.5658607238665402,-0.08855480471014059,Nuts & Seeds
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,-0.4790568089503465,27.18154678930303,1.06,52.77195314511112,504.18897717399994,1437.975323523077,27.8,5.633942969181819,13.524905881074075,12.423165360575759,0.66,29.10504164062963,955.6,59196.438502923076,17380.575408477467,Plant-Based,-0.35626484846315504,-0.22163366161577233,0,-0.5413796541062275,-0.26824772438521316,Legumes & Pulses
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,-0.28635856026124545,27.18154678930303,46.14131578947368,52.77195314511112,504.18897717399994,1437.975323523077,932.6052631578947,5.633942969181819,13.524905881074075,12.423165360575759,29.264473684210525,29.10504164062963,36607.42894736842,59196.438502923076,17380.575408477467,Plant-Based,0.0,-0.0019459955010308074,0,-0.20078892790195574,0.04210017611203897,Legumes & Pulses
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,0.0026888127724062033,27.18154678930303,11.69,52.77195314511112,504.18897717399994,1437.975323523077,414.6,5.633942969181819,13.524905881074075,12.423165360575759,10.52,29.10504164062963,14888.2,59196.438502923076,17380.575408477467,Plant-Based,-0.2167142858565366,-0.12630073201705763,0,-0.11852315238009906,-0.2068024947786824,Vegetable Oils
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,0.15684741172368705,1.207013575,10.67,52.77195314511112,0.7239819,1437.975323523077,6.4,0.828054299,13.524905881074075,0.273755656,2.42,29.10504164062963,36.2,59196.438502923076,4.095022624,Plant-Based,-0.5396835396521891,-0.27758878450779834,0,-0.1646383008417209,-0.5392281917689576,Vegetable Oils
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,-0.23818399808897017,5.730769231,50.66,52.77195314511112,114.0158371,1437.975323523077,1007.9,0.407239819,13.524905881074075,1.997737557,17.66,29.10504164062963,36369.4,59196.438502923076,4114.18552,Plant-Based,-0.13467678146719783,-0.17326062592740965,0,-0.30728122463476726,-0.08767108493012477,Vegetable Oils
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,-0.21891417322006004,2.17081448,19.19,52.77195314511112,26.88914027,1437.975323523077,237.7,0.426470588,13.524905881074075,1.202488688,10.63,29.10504164062963,10593.7,59196.438502923076,1198.382353,Plant-Based,-0.42264665673185464,-0.23097775810303092,0,-0.3764760742297311,-0.3713714603003542,Vegetable Oils
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,0.0026888127724062033,4.214932127,37.26,52.77195314511112,242.2850679,1437.975323523077,2141.8,0.613122172,13.524905881074075,2.976244344,26.31,29.10504164062963,177480.2,59196.438502923076,20076.9457,Plant-Based,1.4083934672866927,-0.10505942727016354,2,0.13376425169176148,1.3965175187847845,Vegetable Oils
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,-0.44051715921252627,39.52631579,7.51,68.27272727,1946.315789,3361.818182,369.8,11.0,19.0,4.210526316,0.8,7.272727273,5335.7,48506.36364,28082.63158,Plant-Based,-0.27732532088182354,-0.44356628170816076,0,-0.6589466538922805,-0.18265269319947802,Vegetables
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,-0.5465011959915319,8.756756757,3.24,24.92307692,38.64864865,110.0,14.3,1.351351351,3.846153846,1.054054054,0.39,3.0,932.0,7169.230769,2518.918919,Plant-Based,-1.0259746183315093,-0.5051232589197531,0,-0.8853536128736893,-0.9026232539732607,Vegetables
Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,-0.5465011959915319,4.351351351,1.61,16.1,76.75675676,284.0,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292.0,2511.351351,Plant-Based,-1.0031835580024637,-0.5045417143170752,0,-0.8816161490436613,-0.880154753855501,Vegetables
Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,-0.5368662835570769,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3.0,4.636363636,3.235294118,0.55,5.0,8455.1,76864.54545,49735.88235,Plant-Based,0.20371652276438648,-0.4726888440770861,0,-0.6762462222873655,0.3081882001054134,Vegetables
Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,-0.5272313711226219,27.18154678930303,2.27,52.77195314511112,504.18897717399994,1437.975323523077,102.5,5.633942969181819,13.524905881074075,12.423165360575759,0.38,29.10504164062963,4911.4,59196.438502923076,17380.575408477467,Plant-Based,-0.31698537148884215,-0.22521985332481487,0,-0.5717112866319258,-0.2221861825322356,Vegetables
